0.005000,-0.000005
0.010000,-0.000009
0.015000,-0.000009
0.020000,-0.000009
0.025000,-0.000009
0.030000,-0.000009
0.035000,-0.000009
0.040000,-0.000009
0.045000,-0.000009
0.050000,-0.000009
0.055000,-0.000009
0.060000,-0.000009
0.065000,-0.000009
0.070000,-0.000009
0.075000,-0.000009
0.080000,-0.000008
0.085000,-0.000008
0.090000,-0.000008
0.095000,-0.000008
0.100000,-0.000008
0.105000,-0.000008
0.110000,-0.000008
0.115000,-0.000008
0.120000,-0.000008
0.125000,-0.000008
0.130000,-0.000008
0.135000,-0.000008
0.140000,-0.000008
0.145000,-0.000008
0.150000,-0.000008
0.155000,-0.000008
0.160000,-0.000008
0.165000,-0.000008
0.170000,-0.000008
0.175000,-0.000008
0.180000,-0.000008
0.185000,-0.000008
0.190000,-0.000008
0.195000,-0.000008
0.200000,-0.000008
0.205000,-0.000008
0.210000,-0.000008
0.215000,-0.000008
0.220000,-0.000008
0.225000,-0.000008
0.230000,-0.000008
0.235000,-0.000008
0.240000,-0.000008
0.245000,-0.000007
0.250000,-0.000007
0.255000,-0.000007
0.260000,-0.000007
0.265000,-0.000007
0.270000,-0.000007
0.275000,-0.000007
0.280000,-0.000007
0.285000,-0.000007
0.290000,-0.000007
0.295000,-0.000007
0.300000,-0.000007
0.305000,-0.000007
0.310000,-0.000007
0.315000,-0.000007
0.320000,-0.000007
0.325000,-0.000007
0.330000,-0.000007
0.335000,-0.000007
0.340000,-0.000007
0.345000,-0.000006
0.350000,-0.000006
0.355000,-0.000006
0.360000,-0.000006
0.365000,-0.000006
0.370000,-0.000006
0.375000,-0.000006
0.380000,-0.000006
0.385000,-0.000006
0.390000,-0.000006
0.395000,-0.000006
0.400000,-0.000006
0.405000,-0.000006
0.410000,-0.000006
0.415000,-0.000006
0.420000,-0.000006
0.425000,-0.000005
0.430000,-0.000005
0.435000,-0.000005
0.440000,-0.000005
0.445000,-0.000005
0.450000,-0.000005
0.455000,-0.000005
0.460000,-0.000005
0.465000,-0.000005
0.470000,-0.000005
0.475000,-0.000005
0.480000,-0.000005
0.485000,-0.000005
0.490000,-0.000005
0.495000,-0.000005
0.500000,-0.000004
0.505000,-0.000004
0.510000,-0.000004
0.515000,-0.000004
0.520000,-0.000004
0.525000,-0.000004
0.530000,-0.000004
0.535000,-0.000004
0.540000,-0.000004
0.545000,-0.000004
0.550000,-0.000004
0.555000,-0.000003
0.560000,-0.000003
0.565000,-0.000003
0.570000,-0.000004
